rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
397,42.374440,-71.049377,9,0.730,1,2.7,PONTON,2.7,29.8,445.6,275.8,650.7,1,0,SUPPRESS_CHARTED
398,42.375360,-71.050923,9,0.699,1,11.2,BUISGL,11.2,35.3,607.3,355.5,640.5,0,0,SUPPRESS_CHARTED
399,42.376497,-71.050899,9,0.907,1,20.2,BUISGL,20.2,87.7,701.6,353.3,609.8,0,0,SUPPRESS_CHARTED
400,42.378766,-71.050566,9,0.740,1,15.4,BUISGL,15.4,81.6,882.5,376.0,381.2,0,0,SUPPRESS_CHARTED
401,42.376965,-71.042693,9,0.575,1,4.9,SLCONS,46.5,46.5,659.4,297.4,333.2,0,0,SUPPRESS_CHARTED
402,42.376722,-71.050169,9,0.709,1,11.2,BUISGL,11.2,39.1,688.1,298.6,562.5,0,0,SUPPRESS_CHARTED
403,42.378063,-71.049692,9,0.584,1,13.4,BUISGL,13.4,34.7,801.7,288.8,409.9,0,0,SUPPRESS_CHARTED
404,42.376244,-71.050887,9,0.886,1,3.3,BUISGL,3.3,77.3,678.9,349.6,634.7,0,0,SUPPRESS_CHARTED
405,42.379660,-71.050291,9,0.845,1,8.6,SLCONS,8.6,8.6,790.4,376.1,293.4,0,0,SUPPRESS_CHARTED
406,42.379893,-71.045754,9,0.699,1,155.3,SLCONS,155.3,155.3,568.1,146.3,229.3,0,0,UNKNOWN_OUTCOV
407,42.378728,-71.042666,9,0.888,1,6.8,BUISGL,6.8,13.8,616.3,270.3,138.5,0,0,SUPPRESS_CHARTED
408,42.379010,-71.041996,9,0.627,1,14.2,SLCONS,14.2,14.2,583.8,328.2,131.2,0,0,SUPPRESS_CHARTED
409,42.378680,-71.043348,9,0.627,1,7.9,SLCONS,7.9,7.9,627.9,214.0,145.5,0,0,SUPPRESS_CHARTED
